rewards,mean10_rewards
23.0,22.0
19.0,20.0
11.5,16.833333333333336
15.0,16.125
15.5,15.799999999999999
27.0,17.5
26.5,18.642857142857142
29.5,19.875
34.0,21.333333333333332
12.0,20.3
22.5,20.25
19.0,20.25
29.5,22.05
31.5,23.700000000000003
14.0,23.55
22.0,23.049999999999997
22.5,22.65
16.5,21.35
30.5,21.0
14.0,21.200000000000003
15.5,20.5
36.5,22.25
26.0,21.9
25.5,21.299999999999997
20.0,21.9
20.0,21.7
30.0,22.45
22.5,23.05
41.5,24.15
22.0,24.950000000000003
23.0,25.7
16.0,23.65
25.5,23.6
13.0,22.35
20.5,22.4
30.0,23.4
49.5,25.35
29.0,26.0
26.5,24.5
15.0,23.8
15.5,23.05
30.0,24.450000000000003
15.5,23.45
19.5,24.1
25.0,24.55
28.0,24.35
27.0,22.1
23.0,21.5
26.5,21.5
29.0,22.9
27.0,24.05
16.0,22.65
24.5,23.55
19.0,23.5
19.5,22.950000000000003
31.5,23.3
28.0,23.4
32.5,24.35
16.0,23.3
29.0,23.3
37.0,24.3
20.0,24.7
29.0,25.15
20.5,25.299999999999997
26.5,26.0
27.0,25.55
35.0,26.25
24.0,25.4
42.5,28.05
28.5,28.0
21.0,26.4
13.0,25.7
18.5,24.65
15.5,24.15
25.0,24.0
23.0,23.6
12.5,21.35
45.5,23.5
17.0,20.950000000000003
24.0,20.5
36.5,22.049999999999997
23.5,23.1
38.5,25.1
21.5,25.700000000000003
26.0,25.8
31.0,26.6
18.0,27.15
65.5,29.15
21.0,29.549999999999997
26.5,29.799999999999997
20.0,28.15
21.5,27.95
19.0,26.0
27.0,26.549999999999997
20.0,25.95
22.0,25.05
27.5,26.0
21.0,21.549999999999997
43.5,23.8
33.5,24.5
36.5,26.15
36.0,27.6
32.5,28.95
53.0,31.549999999999997
44.5,34.0
76.0,39.4
16.5,38.3
21.0,38.3
33.0,37.25
14.5,35.35
26.5,34.35
22.0,32.95
33.5,33.05
31.0,30.85
29.0,29.3
24.0,24.1
40.5,26.5
35.5,27.950000000000003
41.0,28.75
30.0,30.3
21.5,29.799999999999997
34.5,31.05
41.0,31.799999999999997
13.5,30.05
23.5,29.5
23.5,29.45
21.5,27.55
19.5,25.95
60.5,27.9
33.0,28.200000000000003
31.5,29.200000000000003
23.0,28.049999999999997
25.0,26.45
42.0,29.3
34.0,30.35
57.5,33.75
34.5,35.05
45.5,37.650000000000006
30.0,34.6
76.0,38.900000000000006
48.5,40.6
47.0,43.0
49.5,45.45
28.5,44.1
42.5,44.95
36.0,42.8
46.0,43.95
21.0,41.5
42.0,42.7
44.0,39.5
53.0,39.95
46.0,39.85
25.0,37.4
74.0,41.95
45.0,42.2
15.0,40.1
74.5,42.95
53.0,46.15
58.0,47.75
34.0,46.75
37.0,45.15
59.5,46.5
46.5,48.650000000000006
77.0,48.95
30.0,47.45
34.5,49.400000000000006
95.5,51.5
17.5,47.95
55.0,47.650000000000006
44.5,48.7
102.5,55.25
38.5,53.15
45.5,53.05
35.5,48.900000000000006
54.0,51.3
41.5,52.0
74.5,49.900000000000006
57.5,53.900000000000006
118.5,60.25
51.0,60.9
37.0,54.349999999999994
24.5,52.95
61.0,54.5
52.5,56.2
28.0,53.6
46.5,54.099999999999994
33.5,50.0
110.5,55.3
48.0,48.25
35.0,46.65
47.0,47.65
57.0,50.9
61.5,50.95
95.5,55.25
54.5,57.9
56.0,58.85
42.5,59.75
37.5,52.45
52.0,52.849999999999994
62.5,55.6
85.0,59.4
57.0,59.4
83.0,61.55
88.5,60.849999999999994
64.0,61.8
32.0,59.4
29.5,58.099999999999994
27.5,57.099999999999994
51.0,57.0
