rewards,mean10_rewards
30.5,29.5
26.0,27.25
27.0,26.833333333333332
20.0,24.875
18.0,23.3
49.5,27.5
17.0,25.857142857142854
28.5,26.0625
24.5,25.77777777777778
21.5,25.25
21.5,24.35
21.5,23.9
15.0,22.7
14.0,22.1
23.0,22.6
22.5,19.9
13.0,19.5
15.5,18.200000000000003
21.5,17.9
34.0,19.15
19.5,18.95
28.0,19.6
21.0,20.200000000000003
28.5,21.65
18.5,21.2
15.0,20.450000000000003
21.0,21.25
23.0,22.0
15.5,21.4
17.5,19.75
20.0,19.799999999999997
27.0,19.7
28.0,20.4
17.5,19.299999999999997
23.5,19.799999999999997
40.0,22.3
16.0,21.8
28.0,22.3
42.0,24.95
24.0,25.6
27.0,26.3
38.5,27.450000000000003
34.5,28.1
18.5,28.200000000000003
27.5,28.599999999999998
28.0,27.4
21.5,27.95
43.0,29.450000000000003
22.5,27.5
20.5,27.15
22.0,26.65
60.5,28.85
22.5,27.65
33.0,29.099999999999998
19.5,28.3
35.5,29.049999999999997
34.5,30.35
33.5,29.4
25.5,29.7
24.5,30.1
18.5,29.75
43.0,28.0
28.5,28.6
17.5,27.049999999999997
39.0,29.0
28.5,28.3
34.0,28.25
18.0,26.700000000000003
50.0,29.150000000000002
58.0,32.5
32.5,33.9
25.5,32.15
28.0,32.1
24.5,32.8
18.0,30.7
41.5,32.0
35.5,32.150000000000006
36.5,34.0
40.5,33.05
24.0,29.65
33.0,29.7
46.0,31.75
27.5,31.7
31.0,32.349999999999994
39.5,34.5
30.5,33.400000000000006
25.0,32.349999999999994
33.5,32.05
42.5,32.25
86.5,38.5
23.0,37.5
15.0,34.4
20.5,33.7
54.5,36.05
51.0,37.2
24.0,36.55
52.0,39.25
18.0,37.7
45.0,37.95
26.5,31.950000000000003
40.0,33.65
35.5,35.7
36.0,37.25
62.0,38.0
55.5,38.45
53.5,41.4
68.0,43.0
65.5,47.75
59.0,49.15
21.5,48.650000000000006
55.5,50.2
68.0,53.45
27.0,52.55
64.5,52.8
31.0,50.35
59.5,50.95
31.5,47.3
32.0,43.95
29.0,40.95
22.5,41.05
24.0,37.9
58.5,36.95
34.0,37.65
42.0,35.4
40.5,36.35
58.5,36.25
22.5,35.35
37.5,35.900000000000006
32.0,36.2
48.5,38.8
53.5,41.75
46.0,40.5
32.0,40.3
28.5,38.95
35.5,38.45
22.5,34.85
47.0,37.3
35.0,37.05
39.5,37.8
77.0,40.650000000000006
61.5,41.45
43.0,41.150000000000006
49.5,42.9
25.0,42.55
64.5,45.45
49.5,48.15
45.5,48.0
44.5,48.95
80.0,53.0
36.5,48.95
27.0,45.5
76.5,48.849999999999994
26.0,46.5
42.0,48.2
58.5,47.599999999999994
64.5,49.099999999999994
42.0,48.75
49.5,49.25
42.0,45.45
24.0,44.2
65.0,48.0
49.5,45.3
31.0,45.8
45.5,46.15
41.0,44.4
39.0,41.85
88.0,46.45
59.5,47.45
47.5,48.0
48.5,50.45
42.5,48.2
32.5,46.5
28.0,46.2
25.5,44.2
37.5,43.85
51.0,45.05
40.5,40.3
37.5,38.099999999999994
50.0,38.35
31.0,36.6
58.0,38.150000000000006
48.5,39.75
26.5,39.6
61.0,43.150000000000006
27.5,42.15
33.0,40.35
41.0,40.4
49.5,41.6
48.5,41.45
79.5,46.3
49.0,45.4
35.0,44.05
52.5,46.650000000000006
87.0,49.25
50.5,51.55
63.5,54.599999999999994
79.0,58.4
36.0,57.05
62.5,58.45
43.0,54.8
53.0,55.2
73.5,59.050000000000004
42.0,58.0
40.5,53.35
95.0,57.8
27.0,54.15
35.0,49.75
31.5,49.3
51.0,48.15
60.5,49.900000000000006
80.5,52.65
32.0,48.5
43.5,48.65
57.0,50.3
38.5,44.65
65.5,48.5
96.5,54.65
54.0,56.9
41.0,55.900000000000006
45.0,54.35
38.0,50.1
51.0,52.0
91.5,56.8
36.5,54.75
30.0,53.9
65.0,53.849999999999994
37.5,47.95
37.5,46.3
55.0,47.7
85.5,51.75
50.0,52.95
89.0,56.75
80.0,55.599999999999994
63.0,58.25
49.0,60.15
94.5,63.099999999999994
102.5,69.6
52.5,71.1
40.0,69.6
57.0,66.75
53.5,67.1
50.5,63.25
43.0,59.55
92.5,62.5
51.0,62.699999999999996
63.0,59.55
59.0,55.2
61.5,56.099999999999994
47.0,56.8
27.5,53.85
53.5,53.85
99.5,58.75
56.0,60.05
48.5,55.65
63.5,56.9
49.0,55.5
69.0,56.5
52.0,55.55
60.5,56.900000000000006
34.5,57.6
153.0,67.55
86.0,66.2
51.0,65.7
38.0,64.65
53.0,63.599999999999994
69.5,65.65
26.0,61.35
93.0,65.45
50.0,64.4
38.0,64.75
78.5,57.3
96.5,58.35
88.5,62.1
51.0,63.400000000000006
24.5,60.550000000000004
63.0,59.900000000000006
43.0,61.6
53.5,57.65
37.5,56.4
36.5,56.25
72.5,55.65
34.0,49.400000000000006
74.0,47.95
59.5,48.8
160.0,62.349999999999994
70.5,63.1
54.5,64.25
49.0,63.8
125.5,72.6
73.0,76.25
134.0,82.4
66.0,85.6
97.0,87.9
95.5,91.5
127.0,88.19999999999999
85.5,89.7
29.0,87.15
63.5,88.6
149.5,91.0
119.0,95.6
34.5,85.65
76.0,86.65
66.5,83.6
96.0,83.65
88.5,79.8
61.5,77.4
122.5,86.75
67.0,87.1
120.0,84.15
108.5,83.1
80.5,87.69999999999999
113.0,91.4
