rewards,mean10_rewards
23.5,22.5
51.0,36.25
10.5,27.333333333333332
18.0,24.75
28.5,25.3
21.0,24.416666666666668
31.0,25.214285714285715
25.0,25.0625
20.0,24.388888888888886
16.0,23.45
59.0,27.0
36.5,25.55
23.5,26.85
39.5,29.0
32.5,29.4
32.5,30.549999999999997
20.5,29.5
13.5,28.35
25.5,28.900000000000002
27.0,30.0
13.0,25.4
16.0,23.35
26.0,23.6
33.5,23.0
17.5,21.5
15.5,19.8
28.5,20.6
24.0,21.65
23.0,21.4
11.5,19.85
25.5,21.1
24.0,21.9
19.0,21.200000000000003
21.0,19.95
45.5,22.75
39.0,25.1
31.0,25.35
37.0,26.65
22.0,26.55
15.5,26.950000000000003
14.5,25.85
18.5,25.3
14.5,24.85
22.5,25.0
22.0,22.65
36.0,22.35
21.5,21.4
20.5,19.75
28.5,20.4
31.0,21.950000000000003
48.0,25.3
30.5,26.5
26.0,27.65
39.0,29.3
49.5,32.05
20.0,30.45
27.5,31.05
14.5,30.450000000000003
22.0,29.799999999999997
29.5,29.65
44.5,29.3
28.5,29.1
16.5,28.15
27.0,26.95
35.0,25.5
42.5,27.75
20.0,27.0
25.0,28.05
16.5,27.5
27.0,27.25
22.5,25.05
25.5,24.75
39.0,27.0
24.0,26.7
38.5,27.05
64.5,29.25
44.5,31.7
60.0,35.2
21.0,35.65
40.5,37.0
54.5,40.2
25.5,40.2
55.5,41.849999999999994
40.5,43.5
39.5,43.599999999999994
18.5,39.0
23.0,36.849999999999994
15.5,32.4
27.0,33.0
30.5,32.0
64.5,33.0
21.0,32.55
28.0,29.8
50.5,30.799999999999997
26.5,29.5
27.0,30.349999999999998
25.0,30.55
58.5,34.85
51.5,37.3
39.0,38.15
23.5,34.05
33.5,35.3
21.5,34.65
40.5,33.650000000000006
65.0,37.5
22.5,37.05
21.5,36.7
48.0,35.65
40.5,34.55
36.0,34.25
56.0,37.5
34.5,37.6
33.5,38.8
36.5,38.400000000000006
44.0,36.3
32.0,37.25
40.0,39.099999999999994
35.5,37.85
20.5,35.85
48.0,37.05
35.5,35.0
33.0,34.85
23.5,33.849999999999994
45.0,34.7
23.5,32.65
14.5,30.9
21.0,29.0
46.0,30.05
19.0,29.9
63.0,31.4
21.5,30.0
40.5,30.75
17.0,30.1
25.0,28.1
35.5,29.3
123.0,40.15
40.5,42.1
35.5,41.05
27.0,41.849999999999994
29.0,38.45
44.0,40.7
54.0,42.05
56.5,46.0
17.0,45.2
25.5,44.2
26.0,34.5
66.5,37.1
21.0,35.650000000000006
48.5,37.8
83.5,43.25
14.0,40.25
21.0,36.95
35.5,34.85
35.5,36.7
51.0,39.25
15.5,38.2
75.0,39.05
40.5,41.0
29.0,39.05
62.5,36.95
45.0,40.05
23.5,40.3
41.5,40.9
28.0,40.150000000000006
45.0,39.55
31.0,41.1
24.0,36.0
33.0,35.25
51.0,37.45
24.5,33.65
42.5,33.4
26.5,33.7
23.0,31.85
27.0,31.75
27.0,29.95
15.5,28.4
34.0,29.4
47.0,30.8
27.0,28.4
41.0,30.049999999999997
36.0,29.4
40.0,30.75
42.5,32.7
39.0,33.9
174.0,48.599999999999994
38.5,50.900000000000006
20.5,49.55
62.5,51.1
61.0,54.5
83.5,58.75
29.0,58.05
77.0,61.75
42.5,61.75
37.5,61.6
59.5,50.15
29.0,49.2
38.0,50.95
48.5,49.55
26.5,46.1
28.5,40.6
34.5,41.15
42.0,37.650000000000006
62.0,39.6
63.0,42.15
45.0,40.7
26.5,40.45
68.0,43.45
32.0,41.8
35.0,42.65
49.0,44.7
48.5,46.099999999999994
34.5,45.35
32.0,42.349999999999994
31.5,39.2
46.0,39.3
39.5,40.6
41.0,37.900000000000006
103.0,45.0
