rewards,mean10_rewards
20.0,19.0
26.0,22.0
23.0,22.0
61.5,31.625
23.5,29.8
23.0,28.5
19.0,27.0
22.0,26.25
11.5,24.5
25.0,24.450000000000003
22.5,24.700000000000003
22.0,24.3
29.5,24.950000000000003
23.5,21.15
29.5,21.75
25.5,22.0
32.0,23.3
24.0,23.5
73.5,29.7
17.0,28.900000000000002
16.5,28.3
11.5,27.25
34.5,27.75
32.5,28.65
29.0,28.6
16.0,27.650000000000002
20.0,26.45
12.0,25.25
23.5,20.25
23.0,20.85
27.5,21.95
17.5,22.55
27.0,21.799999999999997
44.5,23.0
13.5,21.450000000000003
14.0,21.25
20.0,21.25
17.0,21.75
17.0,21.1
18.0,20.6
35.5,21.4
14.0,21.05
44.5,22.8
34.0,21.75
21.0,22.5
16.5,22.75
27.0,23.45
23.0,24.05
21.5,24.5
60.0,28.7
31.0,28.25
69.0,33.75
22.5,31.55
19.0,30.05
18.5,29.8
16.5,29.799999999999997
43.0,31.4
19.0,31.0
26.5,31.5
15.0,27.0
22.5,26.15
28.0,22.049999999999997
23.0,22.1
45.5,24.75
27.0,25.6
43.0,28.25
32.0,27.15
23.5,27.6
13.5,26.3
60.0,30.799999999999997
25.5,31.1
34.0,31.7
48.0,34.2
27.5,32.400000000000006
30.0,32.7
13.5,29.75
26.0,29.15
27.0,29.5
45.5,32.7
54.5,32.15
46.5,34.25
47.0,35.55
17.5,32.5
25.5,32.3
44.5,33.75
23.5,34.75
34.5,35.6
15.5,34.45
23.5,32.25
24.0,29.2
14.5,26.0
20.0,23.299999999999997
25.0,24.049999999999997
40.5,25.549999999999997
30.0,24.1
14.0,23.15
29.0,22.6
35.5,24.6
50.5,27.299999999999997
24.5,27.35
38.5,29.75
53.5,33.099999999999994
32.5,33.849999999999994
37.5,33.55
24.0,32.95
27.0,34.25
21.5,33.5
26.5,32.599999999999994
29.0,30.450000000000003
35.5,31.549999999999997
18.5,29.549999999999997
44.5,28.65
16.5,27.05
20.5,25.35
38.0,26.75
33.0,27.35
36.5,28.85
37.5,29.950000000000003
35.5,30.6
21.5,29.200000000000003
20.5,29.4
25.0,27.45
27.0,28.5
25.5,29.0
29.0,28.1
23.0,27.1
19.0,25.35
38.5,25.45
47.0,26.6
23.5,26.8
38.0,28.549999999999997
76.5,33.7
29.0,33.9
23.0,33.65
60.5,36.8
29.5,37.45
35.5,39.099999999999994
16.5,36.9
26.5,34.85
47.0,37.2
67.5,40.15
16.0,34.1
37.5,34.95
35.0,36.150000000000006
44.5,34.55
41.0,35.7
66.5,38.8
37.0,40.85
26.0,40.8
36.5,39.75
36.5,36.650000000000006
61.0,41.15
18.5,39.25
28.5,38.6
63.5,40.5
53.0,41.7
27.0,37.75
46.0,38.65
43.0,40.349999999999994
53.5,42.05
58.0,44.2
20.0,40.099999999999994
56.5,43.900000000000006
32.5,44.3
58.0,43.75
35.5,42.0
44.5,43.75
88.0,47.95
62.0,49.849999999999994
49.5,49.45
48.0,48.45
48.0,51.25
29.5,48.55
52.0,50.5
30.0,47.7
25.0,46.65
39.5,46.150000000000006
26.0,39.95
22.5,36.0
38.0,34.85
59.5,36.0
55.5,36.75
52.0,39.0
46.0,38.4
59.5,41.35
48.0,43.65
38.0,43.5
45.5,45.45
33.5,46.55
25.5,45.3
37.5,43.1
56.5,43.2
23.0,40.3
44.0,40.099999999999994
81.5,42.3
46.0,42.1
48.5,43.150000000000006
27.0,41.3
24.0,40.349999999999994
31.0,40.9
23.0,39.45
68.5,40.65
48.0,43.15
71.0,45.85
90.0,46.7
48.5,46.95
65.0,48.6
34.5,49.35
23.0,49.25
39.0,50.05
25.0,50.25
32.0,46.6
51.0,46.9
78.5,47.65
22.0,40.85
45.0,40.5
64.0,40.4
84.0,45.349999999999994
42.0,47.25
51.5,48.5
86.0,54.6
41.5,55.55
52.5,55.7
26.5,50.5
56.0,53.900000000000006
66.5,56.05
51.5,54.8
43.5,50.75
41.0,50.65
58.5,51.349999999999994
47.0,47.45
66.5,49.95
131.0,57.800000000000004
110.0,66.15
81.5,68.69999999999999
60.5,68.1
24.5,65.4
68.0,67.85
73.0,71.05
62.0,71.4
61.5,72.85
71.5,73.35
49.0,65.15
26.5,56.8
142.0,62.85
74.0,64.2
40.5,65.80000000000001
29.5,61.95
91.0,63.75
111.5,68.69999999999999
42.0,66.75
55.5,65.15
66.0,66.85
118.0,76.0
88.5,70.65
55.0,68.75
64.5,71.15
109.5,79.15
98.0,79.85
67.0,75.4
46.5,75.85
67.5,77.05000000000001
70.5,77.5
49.5,70.65
78.5,69.65
16.5,65.8
74.0,66.75
88.5,64.65
64.5,61.3
106.5,65.25
49.0,65.5
36.5,62.400000000000006
70.5,62.400000000000006
66.0,64.05
39.0,60.1
65.5,65.0
104.0,68.0
67.5,65.9
59.0,65.35
44.5,59.15
41.0,58.349999999999994
84.5,63.15
133.0,69.4
52.5,68.05000000000001
46.5,68.80000000000001
26.5,64.9
60.0,60.5
86.5,62.4
84.0,64.9
87.5,69.2
76.5,72.75
145.0,78.80000000000001
65.0,72.0
87.0,75.45
35.5,74.35
65.5,78.25
55.0,77.75
56.5,74.75
46.5,71.0
124.0,74.65
95.0,76.5
62.5,68.25
120.0,73.75
143.0,79.35
66.5,82.45
95.5,85.45
138.5,93.8
55.5,93.69999999999999
67.0,95.75
110.5,94.4
103.5,95.25
83.0,97.30000000000001
60.0,91.3
126.5,89.65
108.5,93.85
148.0,99.1
96.0,94.85
62.0,95.5
79.5,96.75
129.5,98.65
144.5,102.75
108.5,105.3
74.5,106.75
68.5,100.95
87.0,98.8
110.5,95.05000000000001
129.0,98.35
91.5,101.3
76.5,101.0
130.0,101.05
119.5,98.55000000000001
54.5,93.15
71.0,92.8
99.5,95.9
161.0,103.3
68.5,99.1
164.5,102.65
65.0,100.0
94.5,101.8
79.5,96.75
73.0,92.1
100.5,96.69999999999999
118.5,101.45
75.0,99.0
121.5,95.05000000000001
115.0,99.69999999999999
107.5,94.0
76.0,95.1
86.5,94.30000000000001
54.5,91.80000000000001
166.5,101.15
44.0,95.5
87.5,92.4
154.5,100.35
